kode_provinsi,nama_provinsi,tahun,tingkat_pendidikan,persen_angka_partisipasi_murni
33,"Prov. Jawa Tengah",2006,"SD/MI",94.05
33,"Prov. Jawa Tengah",2006,"SM/MA",42.36
33,"Prov. Jawa Tengah",2006,"SMP/Mts",67.67
33,"Prov. Jawa Tengah",2007,"SD/MI/Paket/A",94.78
33,"Prov. Jawa Tengah",2007,"SM/SMK/MA/Paket/C",44.11
33,"Prov. Jawa Tengah",2007,"SMP/Mts/Paket/B",69.19
33,"Prov. Jawa Tengah",2008,"SD/MI/Paket/A",95.14
33,"Prov. Jawa Tengah",2008,"SM/SMK/MA/Paket/C",44.39
33,"Prov. Jawa Tengah",2008,"SMP/Mts/Paket/B",69.68
33,"Prov. Jawa Tengah",2009,"SD/MI/Paket/A",95.63
33,"Prov. Jawa Tengah",2009,"SM/SMK/MA/Paket/C",44.53
33,"Prov. Jawa Tengah",2009,"SMP/Mts/Paket/B",69.67
33,"Prov. Jawa Tengah",2010,"SD/MI/Paket/A",95.93
33,"Prov. Jawa Tengah",2010,"SM/SMK/MA/Paket/C",45000
33,"Prov. Jawa Tengah",2010,"SMP/Mts/Paket/B",69.92
33,"Prov. Jawa Tengah",2011,"SD/MI/Paket/A",90.19
33,"Prov. Jawa Tengah",2011,"SM/SMK/MA/Paket/C",47.34
33,"Prov. Jawa Tengah",2011,"SMP/Mts/Paket/B",69.77
33,"Prov. Jawa Tengah",2012,"SD/MI/Paket/A",92000
33,"Prov. Jawa Tengah",2012,"SM/SMK/MA/Paket/C",50.98
33,"Prov. Jawa Tengah",2012,"SMP/Mts/Paket/B",72.51
34,"Prov. D I Yogyakarta",2003,"SD/MI",91.98
34,"Prov. D I Yogyakarta",2003,"SM/MA",59.77
34,"Prov. D I Yogyakarta",2003,"SMP/Mts",79.06
